16,FLOUR WHEAT,15,WHEAT,1.3889
18,MACARONI,15,WHEAT,1.3889
20,BREAD,15,WHEAT,1.1574
21,BULGUR,15,WHEAT,1.0526
22,PASTRY,15,WHEAT,1.3889
23,"WHEAT,STARCH",15,WHEAT,1.634
28,"RICE,HUSKED",27,"RICE, PADDY",1.25
29,MIL/HUS RICE,27,"RICE, PADDY",1.4706
31,MIL PAD RICE,27,"RICE, PADDY",1.4993
32,"RICE,BROKEN",27,"RICE, PADDY",1.4706
34,"RICE,STARCH",27,"RICE, PADDY",1.634
38,RICE FLOUR,27,"RICE, PADDY",1.4706
41,BREAKF CERLS,15,WHEAT,1
45,POT BARLEY,44,BARLEY,1.4286
46,"BARLEY,PEARL",44,BARLEY,1.4577
48,BARLEY FL GR,44,BARLEY,1.4577
49,MALT BARLEY,44,BARLEY,1.4286
50,MALT EXTRACT,44,BARLEY,1.7858
58,FLOUR MAIZE,56,MAIZE,1.1765
64,STARCH MAIZE,56,MAIZE,1.1765
72,FLOUR RYE,71,RYE,1.25
76,"OATS, ROLLED",75,OATS,1.8182
80,FLOUR MILLET,79,MILLET,1.1111
84,FLOUR SORGHM,83,SORGHUM,1.1111
90,FLOUR BUCKWH,89,BUCKWHEAT,1.6667
95,FLOUR FONIO,94,FONIO,1.1765
98,FLOUR TRITIC,97,TRITICALE,1.3333
104,FLOUR MIX GR,103,MIXED GRAIN,1.1765
110,WAFERS,15,WHEAT,1.3889
111,FLOUR CEREAL,108,CEREALS NES,1.1765
113,CER PREP NES,108,CEREALS NES,1.6667
117,FLOUR POTAT,116,POTATOES,5
118,FROZ POTATOE,116,POTATOES,1.6667
119,POTATO STCH,116,POTATOES,6.6667
121,POTATO TAP,116,POTATOES,6.6667
126,FLOUR CASS,125,CASSAVA,3.5714
127,CASSAVA TAP,125,CASSAVA,4
128,CASSAVA DR.,125,CASSAVA,3.125
129,CASSAVA STCH,125,CASSAVA,4
150,FLOUR RT TUB,149,ROOTS TUB NS,6.6667
151,ROOTS TUB DR,149,ROOTS TUB NS,5
158,CANE SUGAR,162,"SUGAR,C. RAW",1
159,BEET SUGAR,162,"SUGAR,C. RAW",1
164,SUGAR REFIND,162,"SUGAR,C. RAW",1.087
168,SUGAR CONF,162,"SUGAR,C. RAW",0.494
171,SUGARS FLAV,162,"SUGAR,C. RAW",1.087
175,ISOGLUCOSE,172,GLUC. DEXTR.,1
212,FLOUR PULSES,211,PULSES NES,1.25
229,BRAZILNUT SH,216,BRAZIL NUTS,1.8182
230,CASHEW SHE,217,CASHEW NUTS,4.5455
231,ALMONDS SHE,221,ALMONDS,1.8868
232,WALNUTS SHE,222,WALNUTS,2
233,HAZELNUTS SH,225,HAZELNUTS,2.1277
235,PREPRD NUTS,234,NUTS NES,2.5
239,SOYA SAUCE,236,SOYBEANS,0.3333
240,SOYA PASTE,236,SOYBEANS,0.2222
