,15,WHEAT,1,INP,,T,,Target,2511, WHEAT & PRODUCTS,
,16,FLOUR WHEAT,1,INP,OUT,B,,,,,
,17,BRAN WHEAT,1,INP,OUT,B,w=0,Target,2511, WHEAT & PRODUCTS,(cal.)
,18,MACARONI,1,,OUT,B,,,,,
,19,GERM WHEAT,1,,OUT,B,w=0,Target,2511, WHEAT & PRODUCTS,(cal.)
,20,BREAD,1,,OUT,B,,,,,
,21,BULGUR,1,,OUT,B,,,,,
,22,PASTRY,1,,OUT,B,,,,,
,23,"WHEAT,STARCH",1,INP,OUT,B,,,,,
,24,WHEAT GLUTEN,1,INP,OUT,B,w=0,Target,2511, WHEAT & PRODUCTS,(cal.)
,26,WHEAT FER BE,1,,OUT,T,,Target,2657," BEVERAGES, FERMENTED",
,27,"RICE, PADDY",1,INP,,T,,Target,2805, RICE & PROD (MILLED EQ.),
,28,"RICE,HUSKED",1,INP,OUT,B,,,,,
,29,MIL/HUS RICE,1,INP,OUT,B,,,,,
,31,MIL PAD RICE,1,INP,OUT,B,,,,,
,32,"RICE,BROKEN",1,INP,OUT,B,,,,,
,33,RICE GLUTEN,1,INP,OUT,B,w=0,Target,2805, RICE & PROD (MILLED EQ.),(cal.)
,34,"RICE,STARCH",1,INP,OUT,B,,,,,
,35,BRAN RICE,1,INP,OUT,B,w=0,Target,2805, RICE & PROD (MILLED EQ.),(cal.)
,36,OIL RICE BRN,1,INP,OUT,T,,Target,2581," RICE, BRAN OIL",
,37,CAKE RICEBRN,1,,OUT,T,w=0,Target,2598," OILSEEDS, OTHERS, CAKE",
,38,RICE FLOUR,1,INP,OUT,B,,,,,
,39,RICE FER BEV,1,,OUT,T,,Target,2657," BEVERAGES, FERMENTED",
,41,BREAKF CERLS,1,,OUT,B,,,,,
,44,BARLEY,1,INP,,T,,Target,2513, BARLEY & PRODUCTS,
,45,POT BARLEY,1,INP,OUT,B,,,,,
,46,"BARLEY,PEARL",1,,OUT,B,,,,,
,47,BRAN BARLEY,1,,OUT,B,w=0,Target,2513, BARLEY & PRODUCTS,(cal.)
,48,BARLEY FL GR,1,,OUT,B,,Target,2513, BARLEY & PRODUCTS,(cal.)
,49,MALT BARLEY,1,INP,OUT,B,,,,,
,50,MALT EXTRACT,1,INP,OUT,B,,,,,
,51,BEER BARLEY,1,,OUT,T,,Target,2656," BARLEY, BEER",
,56,MAIZE,1,INP,,T,,Target,2514, MAIZE & PRODUCTS,
,57,GERM MAIZE,1,INP,OUT,B,w=0,Target,2514, MAIZE & PRODUCTS,(cal.)
,58,FLOUR MAIZE,1,INP,OUT,B,,,,,
,59,BRAN MAIZE,1,INP,OUT,B,w=0,Target,2514,MAIZE & PRODUCTS,(cal.)
,60,OIL MAIZE,1,INP,OUT,T,,Target,2582,"MAIZE, GERM OIL",
,61,CAKE MAIZE,1,INP,OUT,T,,Target,2598,"OILSEEDS, OTHERS, CAKE",
,63,MAIZE GLUTEN,1,INP,OUT,B,w=0,Target,2514,MAIZE & PRODUCTS,(cal.)
,64,STARCH MAIZE,1,INP,OUT,B,,,,,
,66,BEER MAIZE,1,,OUT,T,,Target,2657,"BEVERAGES, FERMENTED",
,67,WHITE MAIZE,0,,,XXX,,,,,
,68,POP CORN,1,INP,,T,,Target,2520,"CEREALS,OTHERS &PRODUCTS",
,71,RYE,1,INP,,T,,Target,2515,RYE & PRODUCTS,
,72,FLOUR RYE,1,,OUT,B,,,,,
,73,BRAN RYE,1,,OUT,B,w=0,Target,2515,RYE & PRODUCTS,(cal.)
,75,OATS,1,INP,,T,,Target,2516,OATS & PRODUCTS,
,76,"OATS, ROLLED",1,,OUT,B,,,,,
,77,BRAN OATS,1,,OUT,B,w=0,Target,2516,OATS & PRODUCTS,(cal.)
,79,MILLET,1,INP,,T,,Target,2517,MILLET & PRODUCTS,
,80,FLOUR MILLET,1,,OUT,B,,,,,
,81,BRAN MILLET,1,,OUT,B,w=0,Target,2517,MILLET & PRODUCTS,(cal.)
,82,BEER MILLET,1,,OUT,T,,Target,2657,"BEVERAGES, FERMENTED",
,83,SORGHUM,1,INP,,T,,Target,2518,SORGHUM & PRODUCTS,
,84,FLOUR SORGHM,1,INP,OUT,B,,,,,
,85,BRAN SORGHUM,1,,OUT,B,w=0,Target,2518,SORGHUM & PRODUCTS,(cal.)
,86,BEER SORGHUM,1,,OUT,T,,Target,2657,"BEVERAGES, FERMENTED",
,89,BUCKWHEAT,1,INP,,T,,Target,2520,"CEREALS,OTHERS &PRODUCTS",
,90,FLOUR BUCKWH,1,,OUT,B,,,,,
,91,BRAN BUCKWHT,1,,OUT,B,w=0,Target,2520,"CEREALS,OTHERS &PRODUCTS",(cal.)
,92,QUINOA,1,INP,,T,,Target,2520,"CEREALS,OTHERS &PRODUCTS",
,94,FONIO,1,INP,,T,,Target,2520,"CEREALS,OTHERS &PRODUCTS",
,95,FLOUR FONIO,1,,OUT,B,,,,,
,96,BRAN FONIO,1,,OUT,B,w=0,Target,2520,"CEREALS,OTHERS &PRODUCTS",(cal.)
,97,TRITICALE,1,INP,,T,,Target,2520,"CEREALS,OTHERS &PRODUCTS",
,98,FLOUR TRITIC,1,,OUT,B,,,,,
,99,BRAN TRITICA,1,,OUT,B,w=0,Target,2520,"CEREALS,OTHERS &PRODUCTS",(cal.)
,101,CANARY SEED,1,INP,,T,,Target,2520,"CEREALS,OTHERS &PRODUCTS",
,103,MIXED GRAIN,1,INP,,T,,Target,2520,"CEREALS,OTHERS &PRODUCTS",
,104,FLOUR MIX GR,1,,OUT,B,,,,,
,105,BRAN MIX GR,1,,OUT,B,w=0,Target,2520,"CEREALS,OTHERS &PRODUCTS",(cal.)
,108,CEREALS NES,1,INP,,T,,Target,2520,"CEREALS,OTHERS &PRODUCTS",
,109,INFANT FOOD,1,,,XXX,,Target,2680,INFANT FOOD,
,110,WAFERS,1,,OUT,B,,,,,
,111,FLOUR CEREAL,1,,OUT,B,,,,,
,112,BRAN CEREAL,1,,OUT,B,w=0,Target,2520,"CEREALS,OTHERS &PRODUCTS",(cal.)
,113,CER PREP NES,1,,OUT,B,,,,,
,114,MIXES AND DO,1,,,XXX,,Target,2511,WHEAT & PRODUCTS,(cal.)
,115,FOOD PREP.FL,1,,,XXX,,Target,2511,WHEAT & PRODUCTS,(cal.)
,116,POTATOES,1,INP,,T,,Target,2531,POTATOES & PRODUCTS,
,117,FLOUR POTAT,1,INP,OUT,B,,,,,
,118,FROZ POTATOE,1,,OUT,B,,,,,
,119,POTATO STCH,1,INP,OUT,B,,,,,
+,120,POTATO OFFAL,1,,OUT,B,w=0,Target,,,
,121,POTATO TAP,1,,OUT,B,,,,,
,122,SWEET POTATO,1,INP,,T,,Target,2533,SWEET POTATOES,
,125,CASSAVA,1,INP,,T,,Target,2532,CASSAVA & PRODUCTS,
,126,FLOUR CASS,1,,OUT,B,,,,,
,127,CASSAVA TAP,1,,OUT,B,,,,,
,128,CASSAVA DR.,1,INP,OUT,B,,,,,
,129,CASSAVA STCH,1,INP,OUT,B,,,,,
,135,YAUTIA(COC.),1,INP,,T,,Target,2534,"ROOTS&TUBERS,OTH & PROD.",
,136,TARO,1,INP,,T,,Target,2534,"ROOTS&TUBERS,OTH & PROD.",
,137,YAMS,1,INP,,T,,Target,2535,YAMS,
,149,ROOTS TUB NS,1,INP,,T,,Target,2534,"ROOTS&TUBERS,OTH & PROD.",
,150,FLOUR RT TUB,1,,OUT,B,,,,,
,151,ROOTS TUB DR,1,,OUT,B,,,,,
,154,FRUCTOSE CHE,1,,,XXX,,Target,2543,"SWEETENERS, OTHER & PROD",
,155,MALTOSE CHEM,1,,,XXX,,Target,2543,"SWEETENERS, OTHER & PROD",
,156,SUGAR CANE,1,INP,,T,,Target,2536,SUGAR CANE,
,157,SUGAR BEETS,1,INP,,T,,Target,2537,SUGAR BEETS,
,158,CANE SUGAR,1,INP,OUT,F,,,,,
,159,BEET SUGAR,1,INP,OUT,F,,,,,
,160,MAPLE SUGAR,1,,,XXX,,Target,2543,"SWEETENERS, OTHER & PROD",
,161,SUGAR CROPS,1,INP,,T,,Target,2543,"SWEETENERS, OTHER & PROD",
,162,"SUGAR,C. RAW",1,INP,OUT,T,,Target,2542,SUGAR & PROD. (RAW EQ.),
,163,"SUGAR,N-CENT",1,INP,OUT,T,,Target,2541,"SUGAR, NON-CENTRIFUGAL",
,164,SUGAR REFIND,1,INP,OUT,B,,,,,
,165,MOLASSES,1,INP,OUT,T,w=0,Target,2543,"SWEETENERS, OTHER & PROD",(cal.)
,166,OTHER FRUCTO,1,,OUT,T,,Target,2543,"SWEETENERS, OTHER & PROD",
,167,SUGAR NES,1,,OUT,T,,Target,2543,"SWEETENERS, OTHER & PROD",
,168,SUGAR CONF,1,,OUT,B,,,,,
+,169,BEET P.DRY,1,,OUT,T,w=0,Target,,,
+,170,BAGASSE,1,,OUT,T,w=0,Target,,,
,171,SUGARS FLAV,1,,OUT,B,,,,,
,172,GLUC. DEXTR.,1,INP,OUT,T,,Target,2543,"SWEETENERS, OTHER & PROD",
,173,LACTOSE,1,,OUT,T,,Target,2543,"SWEETENERS, OTHER & PROD",
+,174,ARTIF SWEETN,1,,,XXX,,Target,,,
,175,ISOGLUCOSE,1,,OUT,B,,,,,
,176,"BEANS, DRY",1,INP,,T,,Target,2546,"BEANS, DRY & PRODUCTS",
,181,"BRD BEANS,DR",1,INP,,T,,Target,2549,"PULSES, OTHER & PROD.",
,187,"PEAS, DRY",1,INP,,T,,Target,2547,"PEAS, DRY & PRODUCTS",
,191,CHICK-PEAS,1,INP,,T,,Target,2549,"PULSES, OTHER & PROD.",
,195,"COW PEAS,DRY",1,INP,,T,,Target,2549,"PULSES, OTHER & PROD.",
,197,PIGEON PEAS,1,INP,,T,,Target,2549,"PULSES, OTHER & PROD.",
,201,LENTILS,1,INP,,T,,Target,2549,"PULSES, OTHER & PROD.",
,203,BAMBARA BEAN,1,INP,,T,,Target,2549,"PULSES, OTHER & PROD.",
,205,VETCHES,1,INP,,T,,Target,2549,"PULSES, OTHER & PROD.",
,210,LUPINS,1,INP,,T,,Target,2549,"PULSES, OTHER & PROD.",
,211,PULSES NES,1,INP,,T,,Target,2549,"PULSES, OTHER & PROD.",
,212,FLOUR PULSES,1,,OUT,B,,,,,
,213,BRAN PULSES,1,,OUT,B,w=0,Target,2549,"PULSES, OTHER & PROD.",(cal.)
,216,BRAZIL NUTS,1,INP,,T,,Target,2551,NUTS & PRODUCTS,
,217,CASHEW NUTS,1,INP,,T,,Target,2551,NUTS & PRODUCTS,
,220,CHESTNUTS,1,,,XXX,,Target,2551,NUTS & PRODUCTS,
,221,ALMONDS,1,INP,,T,,Target,2551,NUTS & PRODUCTS,
,222,WALNUTS,1,INP,,T,,Target,2551,NUTS & PRODUCTS,
,223,PISTACHIOS,1,INP,,T,,Target,2551,NUTS & PRODUCTS,
,224,KOLANUTS,1,,,XXX,,Target,2551,NUTS & PRODUCTS,
,225,HAZELNUTS,1,INP,,T,,Target,2551,NUTS & PRODUCTS,
,226,ARECANUTS,1,,,XXX,,Target,2551,NUTS & PRODUCTS,
,229,BRAZILNUT SH,1,INP,OUT,B,,,,,
,230,CASHEW SHE,1,INP,OUT,B,,,,,
,231,ALMONDS SHE,1,INP,OUT,B,,,,,
,232,WALNUTS SHE,1,INP,OUT,B,,,,,
,233,HAZELNUTS SH,1,INP,OUT,B,,,,,
