16,FLOUR WHEAT,7200.
17,BRAN WHEAT,2000.
18,MACARONI,10000.
19,GERM WHEAT,200.
20,BREAD,12000.
21,BULGUR,9500.
22,PASTRY,10000.
23,"WHEAT,STARCH",8500.
24,WHEAT GLUTEN,1100.
26,WHEAT FER BE,4500.
28,"RICE,HUSKED",8000.
29,MIL/HUS RICE,8500.
31,MIL PAD RICE,6670.
32,"RICE,BROKEN",10000.
33,RICE GLUTEN,900.
34,"RICE,STARCH",9000.
35,BRAN RICE,1000.
36,OIL RICE BRN,1400.
37,CAKE RICEBRN,7500.
38,RICE FLOUR,10000.
39,RICE FER BEV,18000.
41,BREAKF CERLS,10000.
45,POT BARLEY,7000.
46,"BARLEY,PEARL",5500.
47,BRAN BARLEY,2000.
48,BARLEY FL GR,4300.
49,MALT BARLEY,7000.
50,MALT EXTRACT,8000.
51,BEER BARLEY,85000.
57,GERM MAIZE,600.
58,FLOUR MAIZE,8500.
59,BRAN MAIZE,1000.
60,OIL MAIZE,4400.
61,CAKE MAIZE,5500.
63,MAIZE GLUTEN,1000.
64,STARCH MAIZE,8500.
66,BEER MAIZE,50000.
72,FLOUR RYE,8000.
73,BRAN RYE,2000.
76,"OATS, ROLLED",5500.
77,BRAN OATS,1500.
79,MILLET,2000.
80,FLOUR MILLET,9000.
81,BRAN MILLET,2000.
82,BEER MILLET,45000.
84,FLOUR SORGHM,9000.
85,BRAN SORGHUM,2000.
86,BEER SORGHUM,53000.
90,FLOUR BUCKWH,6000.
91,BRAN BUCKWHT,2000.
95,FLOUR FONIO,8500.
96,BRAN FONIO,3000.
98,FLOUR TRITIC,7500.
99,BRAN TRITICA,2500.
104,FLOUR MIX GR,8500.
105,BRAN MIX GR,1800.
109,INFANT FOOD,10000.
110,WAFERS,10000.
111,FLOUR CEREAL,8500.
112,BRAN CEREAL,1800.
113,CER PREP NES,6000.
117,FLOUR POTAT,2000.
118,FROZ POTATOE,6000.
119,POTATO STCH,1500.
120,POTATO OFFAL,3500.
121,POTATO TAP,1500.
126,FLOUR CASS,2800.
127,CASSAVA TAP,2500.
128,CASSAVA DR.,3200.
129,CASSAVA STCH,2500.
150,FLOUR RT TUB,1500.
151,ROOTS TUB DR,2000.
158,CANE SUGAR,1100.
159,BEET SUGAR,1350.
162,"SUGAR,C. RAW",10000.
163,"SUGAR,N-CENT",1000.
164,SUGAR REFIND,9200.
165,MOLASSES,400.
167,SUGAR NES,10000.
168,SUGAR CONF,22000.
169,BEET P.DRY,700.
170,BAGASSE,2500.
