26,WHEAT FER BE
39,RICE FER BEV
51,BEER BARLEY
66,BEER MAIZE
82,BEER MILLET
86,BEER SORGHUM
166,OTHER FRUCTO
172,GLUC. DEXTR.
517,FERM BEVERAG
564,WINE
632,ALC NON-FOOD
634,BEV DIS ALC
