2573,SUNFLOW OIL,268,OIL SUNF SD,1.00
2574,RAPESEED OIL,271,OIL RAPESEED,1.00
2574,RAPESEED OIL,293,OIL MUST SD,1.00
2575,COTTONSEED O,331,OIL COTTON S,1.00
2576,PALM KERN OI,258,"OIL,PALM KER",1.00
2577,PALM OIL,257,PALM OIL,1.00
2578,COPRA OIL,252,OIL COCONUTS,1.00
2579,SESAME OIL,290,OIL SES SD,1.00
2580,OLIVE OIL,261,OLIVE OIL,1.00
2580,OLIVE OIL,274,OIL OLIVERES,1.00
2581,RICE BRAN OI,36,OIL RICE BRN,1.00
2582,MAIZE GERM O,60,OIL MAIZE,1.00
2586,OILCR NES OI,264,KARIT NT BUT,1.00
2586,OILCR NES OI,266,OIL CAST BNS,1.00
2586,OILCR NES OI,276,TUNG OIL,1.00
2586,OILCR NES OI,278,JOJOBA OIL,1.00
2586,OILCR NES OI,281,OIL SAFFLWR,1.00
2586,OILCR NES OI,297,OIL POP SD,1.00
2586,OILCR NES OI,306,VEG TALLOW,1.00
2586,OILCR NES OI,307,STILLING OIL,1.00
2586,OILCR NES OI,313,OIL OF KAPOK,1.00
2586,OILCR NES OI,334,OIL LINSEED,1.00
2586,OILCR NES OI,337,OIL HEMPSD,1.00
2586,OILCR NES OI,340,OIL VG OR NS,1.00
2586,OILCR NES OI,664,COCOA BUTTER,1.00
2590,SOYABEAN CAK,238,CAKE SOYBEAN,1.00
2591,GROUDNUT CAK,245,CAKE GROUNDT,1.00
2592,SUNFLOWE CAK,269,CAKE SUNF SD,1.00
2593,RAPE&MUS CAK,272,CAKE RAPESED,1.00
2593,RAPE&MUS CAK,294,CAKE MUSTARD,1.00
2594,COTTONSEECAK,332,CAKE COTTON,1.00
2595,PALMKERNECAK,259,"CAKE,PLM KER",1.00
2596,COPRA CAKE,253,CAKE COCONUT,1.00
2597,SESAMECAKE,291,CAKE SES SD,1.00
2598,"OILSEED,N,CA",37,CAKE RICEBRN,1.00
2598,"OILSEED,N,CA",61,CAKE MAIZE,1.00
2598,"OILSEED,N,CA",282,CAKE SAFFLWR,1.00
2598,"OILSEED,N,CA",298,CAKE POP SD,1.00
2598,"OILSEED,N,CA",314,CAKE KAPOK,1.00
2598,"OILSEED,N,CA",335,CAKE LINSEED,1.00
2598,"OILSEED,N,CA",338,CAKE HEMPSD,1.00
2598,"OILSEED,N,CA",341,CAK OILSD NS,1.00
2600,BRANS,17,BRAN WHEAT,1.00
2600,BRANS,35,BRAN RICE,1.00
2600,BRANS,47,BRAN BARLEY,1.00
2600,BRANS,59,BRAN MAIZE,1.00
2600,BRANS,73,BRAN RYE,1.00
2600,BRANS,77,BRAN OATS,1.00
2600,BRANS,81,BRAN MILLET,1.00
2600,BRANS,85,BRAN SORGHUM,1.00
2600,BRANS,91,BRAN BUCKWHT,1.00
2600,BRANS,96,BRAN FONIO,1.00
2600,BRANS,99,BRAN TRITICA,1.00
2600,BRANS,105,BRAN MIX GR,1.00
2600,BRANS,112,BRAN CEREAL,1.00
2600,BRANS,213,BRAN PULSES,1.00
2601,TOMATOES,388,TOMATOES,1.00
2602,ONIONS DRY,403,"ONIONS, DRY",1.00
2605,VEG.NES,358,CABBAGES,1.00
2605,VEG.NES,366,ARTICHOKES,1.00
2605,VEG.NES,367,ASPARAGUS,1.00
2605,VEG.NES,372,LETTUCE,1.00
2605,VEG.NES,373,SPINACH,1.00
2605,VEG.NES,378,CASSAVA LEAV,1.00
2605,VEG.NES,393,CAULIFLOWER,1.00
2605,VEG.NES,394,PUMPK+SQ+GRD,1.00
2605,VEG.NES,397,CUCMBR+GHERK,1.00
2605,VEG.NES,399,EGGPLANTS,1.00
2605,VEG.NES,401,"CHIL+PEP,GRN",1.00
2605,VEG.NES,402,"ONIONS,GREEN",1.00
2605,VEG.NES,406,GARLIC,1.00
2605,VEG.NES,407,LEEKS AND OT,1.00
