"measuredItemCPC","Value","geographicAreaM49","measuredElement","timePointYears"
"21419.05",25,"0","5423","0"
"21439.9",50,"0","5423","0"
"F0623",80,"0","5423","0"
"23170.04",20,"0","5423","0"
"23670.02",15,"0","5423","0"
"23991.03",100,"0","5423","0"
"24110",100,"0","5423","0"
"24490.92",400,"0","5423","0"
"2413",44,"0","5423","0"
"23911",84,"0","5423","0"
"23912.01",33,"0","5423","0"
"23912.02",38.5,"0","5423","0"
"23610.01",80,"0","5423","0"
"39150.02",20,"0","5423","0"
"23620",47,"0","5423","0"
"F0665",53,"0","5423","0"
"F0666",470,"0","5423","0"
"23914",12,"0","5423","0"
"35410.90",12,"0","5423","0"
"23999.04",5,"0","5423","0"
"01921.02",33.33,"0","5423","0"
"F0769",2.5,"0","5423","0"
"21800",4,"0","5423","0"
"01929.07",35,"0","5423","0"
"25020.01",110,"0","5423","0"
"25020.02",100,"0","5423","0"
"25090",100,"0","5423","0"
"01950.02",100,"0","5423","0"
"39130.04",200,"0","5423","0"
"21111.01",20,"0","5423","0"
"21151",2,"0","5423","0"
"21512",0.92,"0","5423","0"
"21111.02",80,"0","5423","0"
"21512.01",13,"0","5423","0"
"21182",40,"0","5423","0"
"21185",20,"0","5423","0"
"21184.01",70,"0","5423","0"
"F0875",85,"0","5423","0"
"23991.04",500,"0","5423","0"
"21189.04",75,"0","5423","0"
"22110.01",95,"0","5423","0"
"22120",15,"0","5423","0"
"22241.01",4.5,"0","5423","0"
"22241.02",4,"0","5423","0"
"22110.02",95,"0","5423","0"
"22222.01",35,"0","5423","0"
"22130.01",25,"0","5423","0"
"22230.01",80,"0","5423","0"
"22230.02",80,"0","5423","0"
"22230.03",100,"0","5423","0"
"22221.01",45,"0","5423","0"
"22221.02",35,"0","5423","0"
"22222.02",30,"0","5423","0"
"22211",13,"0","5423","0"
"22212",10,"0","5423","0"
"22230.04",9.1,"0","5423","0"
"22130.02",7.4,"0","5423","0"
"22251.01",15,"0","5423","0"
"22130.03",70,"0","5423","0"
"22251.02",11,"0","5423","0"
"22251.03",2,"0","5423","0"
"22251.04",140,"0","5423","0"
"22110.03",900,"0","5423","0"
"22260",3,"0","5423","0"
"02951.01",2.5,"0","5423","0"
"02951.04",80,"0","5423","0"
"02951.05",50,"0","5423","0"
"02951.91",80,"0","5423","0"
"02951.06",80,"0","5423","0"
"02951.07",50,"0","5423","0"
"02951.92",80,"0","5423","0"
"21112",13,"0","5423","0"
"21152",2,"0","5423","0"
"21513",2,"0","5423","0"
"22242.01",5.5,"0","5423","0"
"22242.02",5.35,"0","5423","0"
"22110.04",93,"0","5423","0"
"22252",18,"0","5423","0"
"02951.08",80,"0","5423","0"
"02951.09",53,"0","5423","0"
"21115",1.5,"0","5423","0"
"21155",0.24,"0","5423","0"
"21514",0.1,"0","5423","0"
"22249.01",6.5,"0","5423","0"
"22253",25,"0","5423","0"
"22110.05",93,"0","5423","0"
"02953",0.3,"0","5423","0"
"02953.03",70,"0","5423","0"
"02953.04",50,"0","5423","0"
"02953.05",70,"0","5423","0"
"02953.01",75,"0","5423","0"
"21116",1.1,"0","5423","0"
"21156",0.22,"0","5423","0"
"21515",0.05,"0","5423","0"
"22254",23,"0","5423","0"
"22110.06",95,"0","5423","0"
"02954",0.2,"0","5423","0"
"02954.01",80,"0","5423","0"
"02954.02",50,"0","5423","0"
"02954.90",61,"0","5423","0"
"21113.01",7,"0","5423","0"
"21153",0.4,"0","5423","0"
"21511.01",0.5,"0","5423","0"
"21113.02",65,"0","5423","0"
"21181",80,"0","5423","0"
"21511.02",20,"0","5423","0"
"21184.02",80,"0","5423","0"
"F1042",85,"0","5423","0"
"21521",80,"0","5423","0"
"02959.01",0.25,"0","5423","0"
"02959.03",80,"0","5423","0"
"02959.04",50,"0","5423","0"
"02959.05",50,"0","5423","0"
"21160.01",10,"0","5423","0"
"21189.05",75,"0","5423","0"
"F1061",70,"0","5423","0"
"23993.02",83,"0","5423","0"
"23993.03",23,"0","5423","0"
"21522",80,"0","5423","0"
"21122",165,"0","5423","0"
"21123",390,"0","5423","0"
"21160.02",50,"0","5423","0"
"21124",600,"0","5423","0"
"21160.04",40,"0","5423","0"
"21170.01",50,"0","5423","0"
"21118.01",17,"0","5423","0"
"21159.01",1.8,"0","5423","0"
"02952.04",80,"0","5423","0"
"02952.05",50,"0","5423","0"
"02952.90",90,"0","5423","0"
"21118.02",8,"0","5423","0"
"02952.02",1.44,"0","5423","0"
"21118.03",11,"0","5423","0"
"02952.03",1.7,"0","5423","0"
"21117.01",20,"0","5423","0"
"21159.02",2.65,"0","5423","0"
"21519.02",1,"0","5423","0"
"02959.02",2.6,"0","5423","0"
"02959.06",80,"0","5423","0"
"02959.07",50,"0","5423","0"
"02959.08",80,"0","5423","0"
"21114",14.7,"0","5423","0"
"02955.02",40,"0","5423","0"
"21119.01",26,"0","5423","0"
"21117.02",3.55,"0","5423","0"
"21519.03",0.15,"0","5423","0"
"21183",45,"0","5423","0"
"21529.03",80,"0","5423","0"
"F1172",85,"0","5423","0"
"02959.20",80,"0","5423","0"
"02959.30",50,"0","5423","0"
"02959.40",80,"0","5423","0"
"21529.02",100,"0","5423","0"
"21523",80,"0","5423","0"
"21700.02",120,"0","5423","0"
"21693.02",110,"0","5423","0"
"34550",100,"0","5423","0"
"F1275",120,"0","5423","0"
