"Value","measuredItemChildCPC","measuredItemParentCPC","geographicAreaM49","measuredShare","timePointYearsSP"
0,"22212","02211","0","1","0"
1,"22130.03","02211","0","1","0"
1,"22251.01","02211","0","1","0"
1,"22130.03","02211","0","1","0"
1,"22251.01","02211","0","1","0"
0,"22130.03","02211","0","1","0"
0,"22251.02","02211","0","1","0"
0,"22130.03","02211","0","1","0"
0,"22251.02","02211","0","1","0"
0,"22251.04","22120","0","1","0"
0,"22221.01","22241.02","0","1","0"
0,"22222.01","22110.02","0","1","0"
0,"22230.01","22110.02","0","1","0"
1,"22221.02","22110.02","0","1","0"
1,"22222.02","22110.02","0","1","0"
0,"22211","22110.02","0","1","0"
1,"22212","22110.02","0","1","0"
1,"22230.04","22110.02","0","1","0"
0,"22130.03","22110.02","0","1","0"
0,"22251.01","22110.02","0","1","0"
0,"22130.03","22110.02","0","1","0"
0,"22251.01","22110.02","0","1","0"
1,"22251.02","22110.02","0","1","0"
1,"22130.03","22110.02","0","1","0"
1,"22251.02","22110.02","0","1","0"
1,"22130.03","22110.02","0","1","0"
1,"22260","22110.02","0","1","0"
1,"22230.02","22230.01","0","1","0"
1,"22230.04","22230.03","0","1","0"
1,"22110.03","22221.02","0","1","0"
1,"22110.03","22222.02","0","1","0"
0,"22222.01","22211","0","1","0"
0,"22221.01","22211","0","1","0"
0,"22222.01","22212","0","1","0"
0,"22221.01","22212","0","1","0"
1,"22110.03","22212","0","1","0"
1,"22110.03","22230.04","0","1","0"
1,"22251.04","22251.01","0","1","0"
1,"22130.01","22130.03","0","1","0"
1,"22130.02","22130.03","0","1","0"
0,"22251.01","22130.03","0","1","0"
1,"22251.03","22130.03","0","1","0"
0,"22251.04","22251.02","0","1","0"
0,"22251.04","22251.03","0","1","0"
0,"22221.01","22110.03","0","1","0"
1,"02951.04","02951.01","0","1","0"
1,"02951.91","02951.01","0","1","0"
1,"02951.06","02951.01","0","1","0"
1,"02951.92","02951.01","0","1","0"
1,"02951.05","02951.04","0","1","0"
0,"02951.06","02951.02","0","1","0"
0,"02951.92","02951.02","0","1","0"
1,"02951.07","02951.06","0","1","0"
0,"21523","21513","0","1","0"
0,"F1243","21513","0","1","0"
1,"22110.04","02212","0","1","0"
1,"22242.01","02212","0","1","0"
1,"22110.04","02212","0","1","0"
1,"22242.01","02212","0","1","0"
1,"22242.02","02212","0","1","0"
1,"22110.04","02212","0","1","0"
1,"22242.02","02212","0","1","0"
1,"22110.04","02212","0","1","0"
1,"22130.03","02212","0","1","0"
1,"22252","02212","0","1","0"
1,"22130.03","02212","0","1","0"
1,"22252","02212","0","1","0"
1,"22130.03","22110.04","0","1","0"
1,"22252","22110.04","0","1","0"
1,"22130.03","22110.04","0","1","0"
1,"22252","22110.04","0","1","0"
1,"02951.08","02951.03","0","1","0"
1,"02951.09","02951.08","0","1","0"
0,"21529.03","21514","0","1","0"
0,"21523","21514","0","1","0"
0,"F1243","21514","0","1","0"
1,"22249.01","02291","0","1","0"
1,"22110.05","02291","0","1","0"
1,"22249.01","02291","0","1","0"
1,"22110.05","02291","0","1","0"
1,"22253","02291","0","1","0"
1,"22130.03","02291","0","1","0"
1,"22253","02291","0","1","0"
1,"22130.03","02291","0","1","0"
1,"22130.03","22110.05","0","1","0"
1,"22253","22110.05","0","1","0"
1,"22130.03","22110.05","0","1","0"
1,"22253","22110.05","0","1","0"
1,"02953.03","02953","0","1","0"
1,"02953.05","02953","0","1","0"
1,"02953.01","02953","0","1","0"
1,"02953.04","02953.03","0","1","0"
0,"21529.03","21515","0","1","0"
0,"21523","21515","0","1","0"
0,"F1243","21515","0","1","0"
1,"22130.03","02292","0","1","0"
1,"22254","02292","0","1","0"
1,"22130.03","02292","0","1","0"
1,"22254","02292","0","1","0"
1,"22110.06","02292","0","1","0"
1,"22249.02","02292","0","1","0"
1,"22110.06","02292","0","1","0"
1,"22249.02","02292","0","1","0"
1,"22130.03","22110.06","0","1","0"
1,"22254","22110.06","0","1","0"
1,"22130.03","22110.06","0","1","0"
1,"22254","22110.06","0","1","0"
1,"02954.01","02954","0","1","0"
1,"02954.90","02954","0","1","0"
1,"02954.02","02954.01","0","1","0"
1,"21511.02","21113.01","0","1","0"
1,"21113.02","21113.01","0","1","0"
1,"21511.02","21113.01","0","1","0"
1,"21113.02","21113.01","0","1","0"
1,"21181","21113.01","0","1","0"
1,"21184.02","21113.01","0","1","0"
1,"F1042","21113.01","0","1","0"
1,"21521","21511.01","0","1","0"
0,"21529.03","21511.01","0","1","0"
0,"21523","21511.01","0","1","0"
0,"F1243","21511.01","0","1","0"
1,"21184.02","21113.02","0","1","0"
1,"F1042","21113.02","0","1","0"
0,"21521","21511.02","0","1","0"
0,"21529.03","21511.02","0","1","0"
0,"21529.02","21511.02","0","1","0"
0,"21523","21511.02","0","1","0"
0,"F1243","21511.02","0","1","0"
1,"21529.02","21521","0","1","0"
0,"F1243","21521","0","1","0"
1,"02959.03","02959.01","0","1","0"
1,"02959.05","02959.01","0","1","0"
1,"02959.04","02959.03","0","1","0"
0,"23991.04","21121","0","1","0"
1,"21189.05","21121","0","1","0"
1,"F1061","21121","0","1","0"
1,"23993.02","0231","0","1","0"
1,"23993.03","0231","0","1","0"
1,"21522","21511.03","0","1","0"
0,"F1243","21511.03","0","1","0"
0,"F1243","21522","0","1","0"
1,"02952.04","02952.01","0","1","0"
1,"02952.90","02952.01","0","1","0"
1,"02952.05","02952.04","0","1","0"
1,"02959.06","02959.02","0","1","0"
1,"02959.08","02959.02","0","1","0"
1,"02959.07","02959.06","0","1","0"
0,"21183","21170.02","0","1","0"
0,"F1172","21170.02","0","1","0"
1,"21183","21119.90","0","1","0"
1,"F1172","21119.90","0","1","0"
0,"21700.02","21529.03","0","1","0"
0,"F1243","21529.03","0","1","0"
0,"24230.03","02910","0","1","0"
1,"02959.20","02959.90","0","1","0"
1,"02959.30","02959.20","0","1","0"
0,"21529.03","21523","0","1","0"
0,"21700.02","21523","0","1","0"
0,"F1243","21523","0","1","0"
0,"F1275","21523","0","1","0"
0,"34120","21523","0","1","0"
0,"21529.02","F1243","0","1","0"
0,"21700.02","F1243","0","1","0"
0,"21700.01","F1275","0","1","0"
0,"21700.02","F1275","0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
0,"21529.03",NA,"0","1","0"
0,"21523",NA,"0","1","0"
0,"21700.02",NA,"0","1","0"
0,"21529.03",NA,"0","1","0"
0,"21523",NA,"0","1","0"
0,"21700.02",NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
0,"21529.03",NA,"0","1","0"
0,"21523",NA,"0","1","0"
0,"21700.02",NA,"0","1","0"
0,"F1243",NA,"0","1","0"
0,"F1275",NA,"0","1","0"
0,"21529.03",NA,"0","1","0"
0,"21523",NA,"0","1","0"
0,"21700.02",NA,"0","1","0"
0,"F1243",NA,"0","1","0"
0,"F1275",NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
0,"21529.03",NA,"0","1","0"
0,"21523",NA,"0","1","0"
0,"21700.02",NA,"0","1","0"
0,"F1243",NA,"0","1","0"
0,"F1275",NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
1,NA,NA,"0","1","0"
