"Value","measuredItemChildCPC","measuredItemParentCPC","geographicAreaM49","measuredShare","timePointYearsSP"
1,"39120.10","01193","0","1","0"
1,"23120.08","01193","0","1","0"
1,"39120.10","01193","0","1","0"
1,"23120.08","01193","0","1","0"
1,"23120.09","01191","0","1","0"
1,"39120.11","01191","0","1","0"
1,"23120.09","01191","0","1","0"
1,"39120.11","01191","0","1","0"
0,"23120.90","01195","0","1","0"
0,"39120.13","01195","0","1","0"
0,"23120.90","01195","0","1","0"
0,"39120.13","01195","0","1","0"
1,"23120.10","01199.02","0","1","0"
1,"39120.12","01199.02","0","1","0"
1,"23120.10","01199.02","0","1","0"
1,"39120.12","01199.02","0","1","0"
0,"23140.08","01199.02","0","1","0"
0,"24110","01199.02","0","1","0"
0,"2413","01199.02","0","1","0"
1,"23120.90","01199.90","0","1","0"
1,"39120.13","01199.90","0","1","0"
1,"23120.90","01199.90","0","1","0"
1,"39120.13","01199.90","0","1","0"
1,"23140.08","01199.90","0","1","0"
0,"24110","01199.90","0","1","0"
0,"2413","01199.90","0","1","0"
1,"21392","01510","0","1","0"
1,"39130.03","01510","0","1","0"
1,"21313","01510","0","1","0"
1,"39130.03","01510","0","1","0"
1,"21313","01510","0","1","0"
1,"23220.05","01510","0","1","0"
1,"23230.01","01510","0","1","0"
0,"24110","01510","0","1","0"
0,"2413","01510","0","1","0"
0,"23220.05","21392","0","1","0"
0,"23230.01","21392","0","1","0"
0,"23210.03","23220.05","0","1","0"
0,"23210.05","23220.05","0","1","0"
0,"2413","23220.05","0","1","0"
0,"23220.05","01530","0","1","0"
0,"23170.02","01530","0","1","0"
0,"01599.10","01530","0","1","0"
0,"2413","01530","0","1","0"
1,"23170.01","01520","0","1","0"
1,"23230.02","01520","0","1","0"
1,"01520.01","01520","0","1","0"
1,"23220.06","01520","0","1","0"
0,"24110","01520","0","1","0"
0,"2413","01520.01","0","1","0"
0,"23210.03","23220.06","0","1","0"
0,"23210.05","23220.06","0","1","0"
0,"2413","23220.06","0","1","0"
0,"23170.02","01591","0","1","0"
0,"01599.10","01591","0","1","0"
0,"23170.02","01550","0","1","0"
0,"01599.10","01550","0","1","0"
0,"23170.02","01540","0","1","0"
0,"01599.10","01540","0","1","0"
1,"23170.02","01599","0","1","0"
1,"01599.10","01599","0","1","0"
0,"24110","01802","0","1","0"
0,"2413","01802","0","1","0"
0,"24110","01801","0","1","0"
0,"2413","01801","0","1","0"
1,"23520","23510","0","1","0"
0,"24490.92","23511.02","0","1","0"
0,"2413","23511.02","0","1","0"
1,"23670.01","23520","0","1","0"
1,NA,"23520","0","1","0"
0,"24490.92","23520","0","1","0"
0,"2413","23520","0","1","0"
1,"24110","23540","0","1","0"
1,"2413","23540","0","1","0"
0,"23670.01","23210.05","0","1","0"
0,NA,"23210.05","0","1","0"
1,"23210.08","23210.05","0","1","0"
1,"24490.92","23210.05","0","1","0"
0,"2413","23210.05","0","1","0"
0,"39120.14","01701","0","1","0"
0,"23170.03","01701","0","1","0"
0,"39120.14","01701","0","1","0"
0,"23170.03","01701","0","1","0"
0,"23170.03","01702","0","1","0"
0,"39120.14","01702","0","1","0"
0,"23170.03","01702","0","1","0"
0,"39120.14","01702","0","1","0"
0,"23170.03","01705","0","1","0"
0,"39120.14","01705","0","1","0"
0,"23170.03","01705","0","1","0"
0,"39120.14","01705","0","1","0"
0,"23170.03","01703","0","1","0"
0,"39120.14","01703","0","1","0"
0,"23170.03","01703","0","1","0"
0,"39120.14","01703","0","1","0"
0,"23170.03","01706","0","1","0"
0,"39120.14","01706","0","1","0"
0,"23170.03","01706","0","1","0"
0,"39120.14","01706","0","1","0"
0,"39120.14","01707","0","1","0"
0,"23170.03","01707","0","1","0"
0,"39120.14","01707","0","1","0"
0,"23170.03","01707","0","1","0"
0,"F0472","01707","0","1","0"
0,"23170.03","01704","0","1","0"
0,"39120.14","01704","0","1","0"
0,"23170.03","01704","0","1","0"
0,"39120.14","01704","0","1","0"
0,"39120.14","01708","0","1","0"
0,"23170.03","01708","0","1","0"
0,"39120.14","01708","0","1","0"
0,"23170.03","01708","0","1","0"
0,"23170.03","01709.01","0","1","0"
0,"39120.14","01709.01","0","1","0"
0,"23170.03","01709.01","0","1","0"
0,"39120.14","01709.01","0","1","0"
0,"39120.14","01709.02","0","1","0"
0,"23170.03","01709.02","0","1","0"
0,"39120.14","01709.02","0","1","0"
0,"23170.03","01709.02","0","1","0"
1,"23170.03","01709.90","0","1","0"
1,"39120.14","01709.90","0","1","0"
1,"23170.03","01709.90","0","1","0"
1,"39120.14","01709.90","0","1","0"
0,"23170.03","01709.90","0","1","0"
1,"21429.01","01377","0","1","0"
